concurrency,input_len,num_prompts,successful_requests,failed_requests,duration_s,total_input_tokens,total_generated_tokens,req_per_s,output_tok_per_s,total_tok_per_s,mean_ttft_ms,median_ttft_ms,p99_ttft_ms,mean_tpot_ms,mean_itl_ms
1,128,8,8.0,0.0,8.07,1024.0,1024.0,0.99,126.88,253.75,22.53,14.36,75.28,7.76,7.76
1,1024,8,8.0,0.0,8.3,8192.0,1024.0,0.96,123.36,1110.25,48.36,39.86,104.61,7.79,7.79
1,4096,8,8.0,0.0,9.24,32768.0,1024.0,0.87,110.77,3655.41,149.47,141.3,208.34,7.92,7.92
1,8192,8,8.0,0.0,9.68,65536.0,1024.0,0.83,105.76,6874.68,174.54,175.59,180.09,8.15,8.15
1,15000,8,8.0,0.0,11.37,120000.0,1024.0,0.7,90.06,10643.42,351.19,354.04,357.88,8.42,8.51
4,128,8,8.0,0.0,2.37,1024.0,1024.0,3.38,432.48,864.97,55.69,56.98,93.67,8.84,8.84
4,1024,8,8.0,0.0,2.35,8192.0,1024.0,3.4,435.12,3916.12,32.35,33.24,41.85,8.97,8.97
4,4096,8,8.0,0.0,2.56,32768.0,1024.0,3.12,399.69,13189.65,61.51,54.45,99.7,9.47,9.47
4,8192,8,8.0,0.0,2.88,65536.0,1024.0,2.78,355.78,23125.64,92.92,76.48,169.35,10.41,10.41
4,15000,8,8.0,0.0,5.53,120000.0,1024.0,1.45,185.33,21903.89,615.03,180.36,2616.09,13.23,20.39
16,128,32,32.0,0.0,3.8,4096.0,4096.0,8.41,1076.93,2153.87,169.53,98.23,288.86,13.59,13.59
16,1024,32,32.0,0.0,4.36,32768.0,4096.0,7.33,938.75,8448.76,198.51,227.27,352.37,15.53,15.53
16,4096,32,32.0,0.0,6.68,131072.0,4096.0,4.79,612.77,20221.48,365.83,360.05,973.82,23.1,23.1
16,8192,32,32.0,0.0,9.42,262144.0,4096.0,3.4,434.76,28259.67,983.11,952.11,2206.72,29.2,96.47
16,15000,32,32.0,0.0,24.2,480000.0,4096.0,1.32,169.25,20003.01,3319.22,2849.77,8220.36,68.73,284.17
64,128,64,64.0,0.0,4.36,8192.0,8192.0,14.67,1877.74,3755.48,341.72,337.65,397.73,31.52,31.53
64,1024,64,64.0,0.0,5.55,65536.0,8192.0,11.52,1474.93,13274.35,686.55,521.42,1347.46,37.68,37.68
64,4096,64,64.0,0.0,9.96,262144.0,8192.0,6.43,822.85,27154.14,2505.03,1894.56,5276.89,55.99,55.99
64,8192,32,32.0,0.0,12.04,262144.0,4096.0,2.66,340.3,22119.21,3077.17,2628.23,6870.2,69.24,236.06
64,15000,32,32.0,0.0,20.17,480000.0,4096.0,1.59,203.09,24002.87,7755.46,6115.25,16515.64,72.96,283.22
