concurrency,input_len,num_prompts,successful_requests,failed_requests,duration_s,prompt_tokens_measured,total_generated_tokens,req_per_s,output_tok_per_s,total_tok_per_s,mean_ttft_ms,median_ttft_ms,p99_ttft_ms,mean_tpot_ms
1,128,8,8,0,14.99,,704,0.53,46.97,115.29,215.47,213.77,225.72,19.06
1,1024,8,8,0,20.78,,1024,0.38,49.27,443.41,345.91,345.78,348.62,17.73
1,2048,8,8,0,22.71,,1024,0.35,45.1,766.69,573.16,573.01,576.94,17.83
1,4096,8,0,8,243.6,,,,,,,,,
4,128,8,8,0,12.85,,704,0.62,54.81,134.52,339.52,341.6,377.17,69.84
4,1024,8,8,0,18.57,,1024,0.43,55.13,496.16,857.71,850.42,900.17,66.33
4,2048,8,8,0,20.46,,1024,0.39,50.04,850.75,1743.0,1742.4,1757.39,66.82
4,4096,8,0,8,138.3,,,,,,,,,
16,128,16,16,0,25.99,,1408,0.62,54.17,132.97,763.8,819.69,868.97,287.91
16,1024,16,16,0,36.94,,2048,0.43,55.45,499.01,2841.76,2891.69,2939.14,267.52
16,2048,16,16,0,40.53,,2048,0.39,50.53,859.05,6460.41,6458.11,6505.59,266.29
16,4096,16,0,16,284.11,,,,,,,,,
64,128,64,64,0,101.16,,5632,0.63,55.68,136.66,2147.88,1860.78,3364.98,1130.67
64,1024,64,64,0,145.03,,8192,0.44,56.48,508.36,8433.94,7754.41,11539.22,1069.55
64,2048,64,25,39,63.41,,3200,0.39,50.47,857.95,9288.65,9974.71,10015.5,425.05
64,4096,64,0,64,0.11,,,,,,,,,
