concurrency,input_len,num_prompts,successful_requests,failed_requests,duration_s,prompt_tokens_measured,total_generated_tokens,req_per_s,output_tok_per_s,total_tok_per_s,mean_ttft_ms,median_ttft_ms,p99_ttft_ms,mean_tpot_ms
1,128,8,8,0,14.96,,704,0.53,47.07,115.53,212.46,212.48,219.37,19.05
1,1024,8,8,0,20.81,,1024,0.38,49.2,442.8,344.08,344.24,349.54,17.78
1,2048,8,8,0,22.65,,1024,0.35,45.21,768.49,572.73,572.0,579.43,17.79
1,4096,8,8,0,28.6,,1024,0.28,35.8,1181.37,1290.78,1291.49,1295.05,17.99
4,128,8,8,0,13.33,,704,0.6,52.83,129.67,348.23,341.65,393.3,72.51
4,1024,8,8,0,19.01,,1024,0.42,53.87,484.83,872.12,860.54,917.95,67.93
4,2048,8,8,0,20.41,,1024,0.39,50.17,852.97,1745.41,1741.14,1774.0,66.6
4,4096,8,8,0,26.23,,1024,0.3,39.04,1288.2,4353.42,4348.15,4395.08,68.99
16,128,16,16,0,25.77,,1408,0.62,54.64,134.12,795.53,847.93,921.76,286.32
16,1024,16,16,0,36.79,,2048,0.43,55.66,500.98,2790.53,2925.19,2979.33,266.14
16,2048,16,16,0,40.34,,2048,0.4,50.77,863.03,6290.87,6436.75,6465.35,266.89
16,4096,16,14,2,44.8,,1792,0.31,40.0,1319.98,11317.98,10491.36,14704.23,262.97
64,128,64,64,0,101.26,,5632,0.63,55.62,136.52,2187.08,1748.1,3244.17,1130.85
64,1024,64,64,0,145.49,,8192,0.44,56.31,506.77,8395.14,7411.54,11557.98,1074.44
64,2048,64,64,0,159.65,,8192,0.4,51.31,872.33,19188.13,16185.58,25881.43,1100.5
64,4096,64,14,50,44.94,,1792,0.31,39.88,1315.89,14654.53,14666.81,14677.46,237.13
